training_id,client_id,certificate_number,training_title,category,duration_hours,start_date,end_date,training_status,review_count,approved_review_count,rejected_review_count,pending_review_count,approved_review_ratio,avg_review_rating,attendance_rate,completion_rate,assignment_avg,exam_score,engagement_score,practice_quiz_avg,days_until_exam,missed_sessions,prior_certifications,certificate_score,grade,issue_date,expiry_date,certificate_status,issue_probability,is_issued
21,1021,CERT-2026-00021,UI/UX Bootcamp 21,UI/UX,29,2026-01-20,2026-01-27,COMPLETED,11,10,0,1,0.88,4.5,0.93,0.94,55.8,89.3,78.2,79.3,14,1,4,79.1,C,2026-02-14,2027-02-14,ISSUED,0.9651,1
22,1022,CERT-2026-00022,Mobile Bootcamp 22,Mobile,27,2026-04-04,2026-04-11,COMPLETED,10,3,4,3,0.28,3.2,0.89,1.0,59.7,66.0,74.5,42.2,9,1,1,64.3,D,,,PENDING,0.3463,0
24,1024,CERT-2026-00024,UI/UX Bootcamp 24,UI/UX,39,2026-01-18,2026-01-28,COMPLETED,7,6,0,1,0.9,4.8,0.81,0.88,59.0,71.9,71.1,57.7,4,1,2,67.6,D,,,PENDING,0.3407,0
25,1025,CERT-2026-00025,Web Development Bootcamp 25,Web Development,28,2026-01-04,2026-01-11,COMPLETED,6,3,2,1,0.56,3.8,0.63,0.83,88.2,68.8,52.3,50.1,6,1,0,67.2,D,2026-01-26,2027-01-26,ISSUED,0.7205,1
26,1026,CERT-2026-00026,Cybersecurity Bootcamp 26,Cybersecurity,18,2026-02-04,2026-02-08,COMPLETED,12,9,2,1,0.79,4.3,0.8,0.87,61.2,61.1,45.3,64.4,6,0,1,61.3,D,,,PENDING,0.339,0
27,1027,CERT-2026-00027,Web Development Bootcamp 27,Web Development,29,2025-11-26,2025-12-03,COMPLETED,11,7,1,3,0.63,3.6,1.0,0.91,81.9,88.1,91.3,91.5,6,1,3,88.9,B,2025-12-14,2026-12-14,ISSUED,0.8381,1
29,1029,CERT-2026-00029,Mobile Bootcamp 29,Mobile,65,2025-10-24,2025-11-09,COMPLETED,3,2,1,0,0.52,4.1,0.73,0.78,43.4,66.2,60.2,34.2,8,1,1,55.9,F,2025-11-25,2026-11-25,ISSUED,0.4096,1
30,1030,CERT-2026-00030,Web Development Bootcamp 30,Web Development,70,2025-11-10,2025-11-28,COMPLETED,5,3,1,1,0.6,,1.0,0.93,94.3,100.0,80.7,100.0,0,2,4,96.0,A,2025-12-12,2026-12-12,ISSUED,0.9354,1
35,1035,CERT-2026-00035,Cloud Bootcamp 35,Cloud,67,2026-03-14,2026-03-31,COMPLETED,11,7,1,3,0.61,4.3,0.78,0.92,43.6,43.2,39.8,,10,1,0,48.2,F,2026-04-12,2027-04-12,ISSUED,0.1549,1
36,1036,CERT-2026-00036,Cybersecurity Bootcamp 36,Cybersecurity,41,2026-03-29,2026-04-08,COMPLETED,8,4,1,3,0.47,4.6,0.87,0.8,82.4,79.3,75.2,80.2,7,0,2,80.3,B,2026-04-26,2027-04-26,ISSUED,0.9104,1
38,1038,CERT-2026-00038,Mobile Bootcamp 38,Mobile,44,2026-01-03,2026-01-14,COMPLETED,8,7,0,1,0.81,4.5,0.82,0.92,56.8,78.5,57.4,59.6,11,1,0,68.1,D,,,PENDING,0.7232,0
39,1039,CERT-2026-00039,UI/UX Bootcamp 39,UI/UX,34,2025-11-28,2025-12-06,COMPLETED,8,6,1,1,0.72,,1.0,1.0,87.2,94.4,78.8,92.2,8,0,0,90.8,A,2025-12-27,2026-12-27,ISSUED,0.9189,1
40,1040,CERT-2026-00040,UI/UX Bootcamp 40,UI/UX,39,2025-12-27,2026-01-06,COMPLETED,10,6,2,2,0.61,4.1,1.0,0.94,77.3,100.0,100.0,84.8,13,0,5,92.6,A,2026-01-12,2027-01-12,ISSUED,0.9318,1
41,1041,CERT-2026-00041,Data Science Bootcamp 41,Data Science,58,2026-03-19,2026-04-02,COMPLETED,10,7,2,1,0.67,3.8,0.67,0.86,48.0,48.5,44.5,41.2,3,3,0,48.5,F,,,REVOKED,0.0366,0
43,1043,CERT-2026-00043,Mobile Bootcamp 43,Mobile,35,2026-01-21,2026-01-30,COMPLETED,8,5,2,1,0.67,4.2,0.95,0.97,82.7,77.9,68.2,83.6,0,2,1,80.2,B,2026-02-01,2027-02-01,ISSUED,0.8128,1
44,1044,CERT-2026-00044,Data Science Bootcamp 44,Data Science,50,2025-12-11,2025-12-23,COMPLETED,10,6,2,2,0.6,4.2,0.95,0.97,50.6,69.7,59.2,63.2,4,1,4,65.5,D,2026-01-03,2027-01-03,ISSUED,0.9086,1
45,1045,CERT-2026-00045,UI/UX Bootcamp 45,UI/UX,41,2026-01-18,2026-01-28,COMPLETED,4,3,1,0,0.72,5.0,0.76,0.88,62.3,73.9,54.3,61.2,4,2,2,66.8,D,,,PENDING,0.3312,0
46,1046,CERT-2026-00046,Mobile Bootcamp 46,Mobile,44,2026-01-22,2026-02-02,COMPLETED,6,4,1,1,0.73,4.3,1.0,0.89,90.9,95.6,91.9,66.2,3,1,0,89.8,B,2026-02-06,2027-02-06,ISSUED,0.9305,1
47,1047,CERT-2026-00047,Cloud Bootcamp 47,Cloud,56,2025-10-08,2025-10-22,COMPLETED,10,4,3,3,0.43,3.7,0.98,0.93,58.4,54.0,100.0,44.9,3,2,0,64.4,D,,,PENDING,0.1184,0
51,1051,CERT-2026-00051,Web Development Bootcamp 51,Web Development,31,2025-11-06,2025-11-14,COMPLETED,11,7,2,2,0.6,,0.96,0.9,81.5,82.8,100.0,70.2,5,0,1,84.2,B,2025-11-16,2026-11-16,ISSUED,0.6528,1
52,1052,CERT-2026-00052,Data Science Bootcamp 52,Data Science,53,2025-11-11,2025-11-24,COMPLETED,13,8,3,2,0.62,4.5,1.0,0.92,72.1,88.6,73.9,77.4,12,0,1,82.3,B,2025-12-08,2026-12-08,ISSUED,0.7734,1
53,1053,CERT-2026-00053,Web Development Bootcamp 53,Web Development,44,2026-02-02,2026-02-13,COMPLETED,7,4,2,1,0.64,3.7,0.84,0.94,74.4,70.8,67.6,55.3,2,3,1,70.0,C,,,PENDING,0.3855,0
56,1056,CERT-2026-00056,Data Science Bootcamp 56,Data Science,46,2026-01-20,2026-02-01,COMPLETED,7,6,1,0,0.86,5.0,0.8,0.8,76.7,66.7,51.5,84.8,9,3,2,71.0,C,,,PENDING,0.7636,0
57,1057,CERT-2026-00057,Cybersecurity Bootcamp 57,Cybersecurity,46,2025-11-05,2025-11-17,COMPLETED,12,7,3,2,0.6,4.6,0.69,0.88,49.3,47.9,35.3,63.4,0,3,0,51.0,F,,,REVOKED,0.0728,0
58,1058,CERT-2026-00058,Mobile Bootcamp 58,Mobile,30,2026-01-10,2026-01-18,COMPLETED,8,4,1,3,0.56,3.4,0.78,0.92,35.8,38.7,46.6,47.7,1,0,0,44.5,F,,,REVOKED,0.0852,0
59,1059,CERT-2026-00059,Data Science Bootcamp 59,Data Science,60,2025-11-01,2025-11-16,COMPLETED,10,6,2,2,0.62,4.5,0.9,0.96,79.3,94.9,81.5,85.7,1,1,0,87.6,B,,,PENDING,0.7281,0
60,1060,CERT-2026-00060,Web Development Bootcamp 60,Web Development,58,2026-02-25,2026-03-11,COMPLETED,7,6,0,1,0.85,4.7,1.0,0.91,93.8,100.0,100.0,83.9,8,0,3,96.1,A,2026-03-21,2027-03-21,ISSUED,0.9021,1
61,1061,CERT-2026-00061,UI/UX Bootcamp 61,UI/UX,23,2026-03-25,2026-03-31,COMPLETED,9,4,3,2,0.48,3.5,1.0,0.97,,100.0,94.3,91.7,2,0,2,87.8,B,2026-04-04,2027-04-04,ISSUED,0.7677,1
62,1062,CERT-2026-00062,Web Development Bootcamp 62,Web Development,47,2025-10-10,2025-10-22,COMPLETED,7,7,0,0,1.0,4.2,0.97,1.0,95.7,90.9,98.9,97.8,7,0,3,94.8,A,2025-10-26,2026-10-26,ISSUED,0.9513,1
63,1063,CERT-2026-00063,Cybersecurity Bootcamp 63,Cybersecurity,61,2026-01-10,2026-01-25,COMPLETED,7,5,1,1,0.72,4.5,0.95,0.95,81.5,86.9,59.2,65.1,6,1,1,79.2,C,2026-01-30,2027-01-30,ISSUED,0.7219,1
65,1065,CERT-2026-00065,UI/UX Bootcamp 65,UI/UX,41,2026-03-07,2026-03-17,COMPLETED,10,5,1,4,0.51,4.1,0.92,0.9,55.3,49.8,24.7,59.0,0,2,2,53.2,F,2026-04-04,2027-04-04,ISSUED,0.5635,1
67,1067,CERT-2026-00067,Cybersecurity Bootcamp 67,Cybersecurity,70,2026-01-16,2026-02-03,COMPLETED,7,2,2,3,0.25,3.2,0.95,0.87,68.7,68.9,78.1,62.0,9,0,0,71.6,C,2026-02-21,2027-02-21,ISSUED,0.4514,1
68,1068,CERT-2026-00068,Cybersecurity Bootcamp 68,Cybersecurity,46,2025-12-20,2026-01-01,COMPLETED,12,11,1,0,0.92,,0.87,0.86,54.6,53.0,65.8,46.9,5,1,3,57.6,F,,,REVOKED,0.3329,0
70,1070,CERT-2026-00070,Web Development Bootcamp 70,Web Development,21,2025-11-24,2025-11-29,COMPLETED,9,4,3,2,0.39,3.1,0.93,0.94,64.4,53.7,87.9,35.2,6,1,2,61.8,D,,,PENDING,0.0992,0
71,1071,CERT-2026-00071,UI/UX Bootcamp 71,UI/UX,35,2025-10-21,2025-10-30,COMPLETED,5,4,1,0,0.87,4.5,0.79,1.0,62.0,66.3,52.6,66.8,0,1,0,64.8,D,,,PENDING,0.7918,0
72,1072,CERT-2026-00072,Data Science Bootcamp 72,Data Science,40,2025-10-09,2025-10-19,COMPLETED,10,10,0,0,0.97,4.6,0.94,1.0,,70.7,58.5,62.7,0,1,0,66.4,D,,,PENDING,0.7414,0
73,1073,CERT-2026-00073,Cybersecurity Bootcamp 73,Cybersecurity,58,2025-11-16,2025-11-30,COMPLETED,7,5,1,1,0.75,4.5,0.89,0.96,70.0,61.4,72.7,80.5,7,2,2,70.7,C,2025-12-08,2026-12-08,ISSUED,0.3308,1
77,1077,CERT-2026-00077,Cybersecurity Bootcamp 77,Cybersecurity,50,2025-12-21,2026-01-02,COMPLETED,10,10,0,0,1.0,4.1,1.0,0.99,66.8,75.7,72.4,84.2,5,0,0,77.1,C,,,PENDING,0.7411,0
78,1078,CERT-2026-00078,Cloud Bootcamp 78,Cloud,59,2025-12-14,2025-12-29,COMPLETED,12,9,1,2,0.73,4.7,0.84,0.93,60.4,72.9,80.3,59.6,8,1,0,70.2,C,2026-01-07,2027-01-07,ISSUED,0.6173,1
79,1079,CERT-2026-00079,Mobile Bootcamp 79,Mobile,37,2026-02-03,2026-02-12,COMPLETED,11,10,0,1,0.95,4.1,0.99,0.99,82.8,100.0,95.2,82.6,8,2,4,92.7,A,2026-02-21,2027-02-21,ISSUED,0.9787,1
81,1081,CERT-2026-00081,Cloud Bootcamp 81,Cloud,66,2026-01-02,2026-01-18,COMPLETED,8,6,1,1,0.73,4.3,0.93,1.0,66.3,84.7,66.2,69.4,2,1,0,76.4,C,2026-01-22,2027-01-22,ISSUED,0.6539,1
82,1082,CERT-2026-00082,Web Development Bootcamp 82,Web Development,24,2026-01-14,2026-01-20,COMPLETED,3,2,0,1,0.72,4.3,0.89,0.98,85.2,100.0,100.0,81.2,0,0,1,92.6,A,,,PENDING,0.8743,0
83,1083,CERT-2026-00083,Mobile Bootcamp 83,Mobile,44,2026-02-19,2026-03-02,COMPLETED,7,2,3,2,0.27,2.2,0.79,0.98,75.0,93.8,69.4,89.8,12,0,2,84.1,B,2026-03-23,2027-03-23,ISSUED,0.4293,1
85,1085,CERT-2026-00085,Data Science Bootcamp 85,Data Science,62,2025-12-06,2025-12-22,COMPLETED,14,12,1,1,0.87,4.7,0.93,0.98,70.7,87.2,100.0,75.7,5,0,1,84.1,B,2026-01-12,2027-01-12,ISSUED,0.7904,1
86,1086,CERT-2026-00086,Web Development Bootcamp 86,Web Development,73,2025-11-11,2025-11-29,COMPLETED,7,5,1,1,0.71,4.7,0.99,0.94,65.1,97.6,71.7,86.5,7,0,3,85.2,B,2025-12-17,2026-12-17,ISSUED,0.9064,1
87,1087,CERT-2026-00087,Mobile Bootcamp 87,Mobile,33,2026-03-16,2026-03-24,COMPLETED,10,8,1,1,0.75,4.3,0.95,0.9,76.3,62.8,84.2,78.0,6,0,4,74.4,C,2026-03-31,2027-03-31,ISSUED,0.8169,1
88,1088,CERT-2026-00088,Mobile Bootcamp 88,Mobile,37,2025-12-16,2025-12-25,COMPLETED,4,4,0,0,0.94,4.2,0.73,0.91,70.7,62.1,25.5,63.6,5,3,1,60.2,D,2026-01-04,2027-01-04,ISSUED,0.6088,1
91,1091,CERT-2026-00091,Web Development Bootcamp 91,Web Development,31,2025-11-20,2025-11-28,COMPLETED,3,2,1,0,0.51,4.0,0.99,0.93,72.3,89.1,63.5,81.2,1,1,3,81.5,B,,,PENDING,0.6449,0
93,1093,CERT-2026-00093,Cybersecurity Bootcamp 93,Cybersecurity,46,2025-10-18,2025-10-30,COMPLETED,12,7,2,3,0.59,3.8,0.87,0.91,65.1,72.3,76.1,64.8,9,1,0,71.5,C,,,PENDING,0.5211,0
95,1095,CERT-2026-00095,Web Development Bootcamp 95,Web Development,45,2025-10-10,2025-10-21,COMPLETED,7,1,2,4,0.12,3.0,0.87,0.97,73.4,80.7,57.7,77.6,11,1,1,76.0,C,,,PENDING,0.3081,0
96,1096,CERT-2026-00096,Cloud Bootcamp 96,Cloud,42,2026-02-02,2026-02-12,COMPLETED,6,5,0,1,0.82,4.5,0.95,0.91,98.3,93.3,74.9,73.5,10,4,4,88.8,B,2026-02-14,2027-02-14,ISSUED,0.9154,1
97,1097,CERT-2026-00097,Cloud Bootcamp 97,Cloud,58,2026-03-06,2026-03-20,COMPLETED,12,9,1,2,0.74,4.7,0.93,0.97,96.4,69.5,45.9,78.2,1,0,1,75.9,C,2026-03-24,2027-03-24,ISSUED,0.7468,1
99,1099,CERT-2026-00099,Cloud Bootcamp 99,Cloud,52,2026-02-26,2026-03-11,COMPLETED,9,5,2,2,0.59,4.4,0.97,1.0,71.5,86.0,92.6,72.0,9,1,1,82.6,B,2026-03-17,2027-03-17,ISSUED,0.408,1
100,1100,CERT-2026-00100,Cybersecurity Bootcamp 100,Cybersecurity,56,2026-02-14,2026-02-28,COMPLETED,10,5,3,2,0.47,3.5,0.67,0.9,46.0,45.3,32.5,46.1,5,4,2,46.0,F,,,REVOKED,0.0378,0
102,1102,CERT-2026-00102,Web Development Bootcamp 102,Web Development,33,2025-12-13,2025-12-21,COMPLETED,7,5,1,1,0.68,3.7,0.9,0.92,84.7,78.2,87.1,37.2,13,2,1,75.5,C,2025-12-30,2026-12-30,ISSUED,0.7796,1
104,1104,CERT-2026-00104,Data Science Bootcamp 104,Data Science,63,2026-02-10,2026-02-26,COMPLETED,5,3,1,1,0.52,3.6,0.99,0.95,84.3,96.1,92.2,75.3,5,1,0,89.9,B,,,PENDING,0.6422,0
105,1105,CERT-2026-00105,Cloud Bootcamp 105,Cloud,59,2025-12-10,2025-12-25,COMPLETED,5,2,2,1,0.5,3.8,0.72,0.87,36.3,49.7,15.2,33.4,10,0,1,41.5,F,,,REVOKED,0.0614,0
109,1109,CERT-2026-00109,Mobile Bootcamp 109,Mobile,23,2026-02-04,2026-02-10,COMPLETED,13,9,2,2,0.68,3.9,0.85,0.91,57.7,79.7,75.9,68.4,6,0,1,73.1,C,,,PENDING,0.6087,0
111,1111,CERT-2026-00111,Mobile Bootcamp 111,Mobile,50,2025-11-03,2025-11-15,COMPLETED,6,4,1,1,0.72,4.2,0.82,0.78,43.6,47.3,32.5,39.9,0,3,0,46.7,F,,,REVOKED,0.0867,0
112,1112,CERT-2026-00112,Mobile Bootcamp 112,Mobile,34,2025-11-09,2025-11-17,COMPLETED,8,6,1,1,0.72,4.6,0.83,0.8,76.4,55.9,92.0,77.3,3,2,1,71.6,C,,,PENDING,0.356,0
113,1113,CERT-2026-00113,UI/UX Bootcamp 113,UI/UX,26,2026-01-13,2026-01-19,COMPLETED,7,6,0,1,0.81,,0.82,0.91,60.7,70.5,61.5,56.5,2,3,1,66.0,D,2026-01-23,2027-01-23,ISSUED,0.2471,1
114,1114,CERT-2026-00114,Web Development Bootcamp 114,Web Development,54,2026-02-09,2026-02-23,COMPLETED,6,2,1,3,0.34,3.1,0.6,0.99,25.0,29.7,24.6,19.6,9,1,0,29.4,F,,,REVOKED,0.0053,0
115,1115,CERT-2026-00115,Cloud Bootcamp 115,Cloud,57,2026-02-28,2026-03-14,COMPLETED,5,2,2,1,0.49,3.6,0.82,0.89,54.3,51.2,50.5,65.6,9,1,1,57.2,F,,,REVOKED,0.0839,0
116,1116,CERT-2026-00116,Data Science Bootcamp 116,Data Science,76,2025-10-16,2025-11-04,COMPLETED,9,7,1,1,0.79,4.0,0.88,0.81,68.5,78.5,98.8,74.4,1,1,1,79.4,C,2025-11-15,2026-11-15,ISSUED,0.8673,1
118,1118,CERT-2026-00118,Cybersecurity Bootcamp 118,Cybersecurity,61,2025-12-18,2026-01-02,COMPLETED,5,4,1,0,0.72,4.0,0.57,0.95,,43.6,38.2,27.5,4,3,0,43.9,F,,,REVOKED,0.0524,0
120,1120,CERT-2026-00120,Cybersecurity Bootcamp 120,Cybersecurity,64,2025-12-15,2025-12-31,COMPLETED,10,8,1,1,0.76,4.3,0.98,0.92,61.2,97.5,81.4,69.7,10,2,2,82.9,B,,,PENDING,0.8231,0
121,1121,CERT-2026-00121,Cybersecurity Bootcamp 121,Cybersecurity,57,2026-03-16,2026-03-30,COMPLETED,8,7,0,1,0.84,3.9,0.93,0.97,46.5,66.7,78.9,67.8,2,0,2,66.8,D,,,PENDING,0.4837,0
122,1122,CERT-2026-00122,Web Development Bootcamp 122,Web Development,45,2025-10-14,2025-10-25,COMPLETED,5,3,1,1,0.57,4.1,1.0,0.9,91.2,100.0,86.9,92.9,7,1,2,95.1,A,2025-10-30,2026-10-30,ISSUED,0.9008,1
123,1123,CERT-2026-00123,UI/UX Bootcamp 123,UI/UX,29,2026-01-29,2026-02-05,COMPLETED,10,6,3,1,0.6,3.7,0.73,0.99,83.3,67.7,25.4,57.9,3,3,2,64.2,D,2026-02-17,2027-02-17,ISSUED,0.3327,1
124,1124,CERT-2026-00124,Cybersecurity Bootcamp 124,Cybersecurity,67,2025-10-05,2025-10-22,COMPLETED,5,4,1,0,0.73,4.3,0.83,0.96,48.0,38.1,77.2,62.0,8,1,0,54.1,F,,,REVOKED,0.1097,0
125,1125,CERT-2026-00125,Mobile Bootcamp 125,Mobile,50,2026-03-22,2026-04-03,COMPLETED,4,2,1,1,0.6,3.8,1.0,0.96,46.3,73.1,59.6,71.4,7,0,0,67.7,D,2026-04-19,2027-04-19,ISSUED,0.7141,1
126,1126,CERT-2026-00126,Cloud Bootcamp 126,Cloud,52,2025-12-26,2026-01-08,COMPLETED,12,11,1,0,0.9,5.0,0.86,0.93,87.2,77.0,69.5,72.7,11,0,1,78.4,C,2026-01-17,2027-01-17,ISSUED,0.7639,1
127,1127,CERT-2026-00127,Cloud Bootcamp 127,Cloud,46,2026-01-26,2026-02-07,COMPLETED,6,5,0,1,0.89,4.5,0.8,0.97,71.2,56.3,84.8,59.0,0,2,0,66.4,D,2026-02-17,2027-02-17,ISSUED,0.5185,1
130,1130,CERT-2026-00130,Data Science Bootcamp 130,Data Science,48,2025-11-08,2025-11-20,COMPLETED,6,4,1,1,0.6,4.5,1.0,0.84,56.7,62.9,49.1,73.0,10,1,3,64.9,D,2025-12-10,2026-12-10,ISSUED,0.5595,1
135,1135,CERT-2026-00135,Web Development Bootcamp 135,Web Development,21,2026-03-16,2026-03-21,COMPLETED,9,5,2,2,0.55,3.7,1.0,0.96,78.4,84.3,71.5,81.1,2,1,1,82.3,B,2026-03-26,2027-03-26,ISSUED,0.9044,1
138,1138,CERT-2026-00138,Web Development Bootcamp 138,Web Development,39,2025-11-30,2025-12-10,COMPLETED,7,5,1,1,0.78,4.7,1.0,0.93,57.5,72.9,77.0,71.6,3,4,1,72.6,C,2025-12-26,2026-12-26,ISSUED,0.4842,1
139,1139,CERT-2026-00139,Cybersecurity Bootcamp 139,Cybersecurity,54,2026-02-19,2026-03-05,COMPLETED,9,5,2,2,0.54,3.8,0.92,0.99,44.8,68.7,70.8,37.5,4,0,1,61.1,D,2026-03-23,2027-03-23,ISSUED,0.7185,1
140,1140,CERT-2026-00140,Web Development Bootcamp 140,Web Development,20,2026-03-25,2026-03-30,COMPLETED,5,3,1,1,0.65,4.1,1.0,0.86,71.5,84.8,89.0,79.2,2,0,2,83.1,B,2026-04-05,2027-04-05,ISSUED,0.8254,1
142,1142,CERT-2026-00142,Cybersecurity Bootcamp 142,Cybersecurity,47,2025-10-25,2025-11-06,COMPLETED,4,2,1,1,0.58,3.4,0.98,0.88,60.0,86.2,62.9,68.4,8,1,0,75.5,C,2025-11-22,2026-11-22,ISSUED,0.8208,1
143,1143,CERT-2026-00143,Data Science Bootcamp 143,Data Science,57,2026-02-17,2026-03-03,COMPLETED,11,8,1,2,0.75,4.4,0.86,0.8,74.5,64.0,48.9,,3,1,1,65.0,D,2026-03-18,2027-03-18,ISSUED,0.5672,1
144,1144,CERT-2026-00144,Data Science Bootcamp 144,Data Science,49,2026-03-21,2026-04-02,COMPLETED,12,2,5,5,0.21,3.3,0.75,0.94,48.7,82.6,30.5,59.9,2,1,1,63.5,D,,,PENDING,0.2924,0
148,1148,CERT-2026-00148,Data Science Bootcamp 148,Data Science,74,2025-12-16,2026-01-03,COMPLETED,6,3,2,1,0.53,4.5,0.8,0.89,63.6,81.5,68.8,80.1,6,2,1,75.4,C,,,PENDING,0.5895,0
149,1149,CERT-2026-00149,Cybersecurity Bootcamp 149,Cybersecurity,64,2026-02-04,2026-02-20,COMPLETED,12,7,3,2,0.54,4.7,1.0,0.97,91.2,78.2,59.5,58.4,5,1,1,77.5,C,,,PENDING,0.8268,0
150,1150,CERT-2026-00150,Web Development Bootcamp 150,Web Development,37,2026-01-25,2026-02-03,COMPLETED,13,9,2,2,0.71,3.8,0.89,0.92,65.6,68.6,73.4,60.5,11,2,2,69.4,D,2026-02-08,2027-02-08,ISSUED,0.4889,1
151,1151,CERT-2026-00151,Data Science Bootcamp 151,Data Science,62,2026-01-17,2026-02-02,COMPLETED,8,5,1,2,0.58,3.7,0.84,0.92,58.9,73.9,46.9,45.6,8,1,1,63.3,D,,,PENDING,0.4482,0
152,1152,CERT-2026-00152,Cybersecurity Bootcamp 152,Cybersecurity,47,2026-03-06,2026-03-18,COMPLETED,6,4,1,1,0.65,3.9,0.81,0.96,74.3,83.4,84.9,69.0,6,1,1,79.1,C,,,PENDING,0.7084,0
155,1155,CERT-2026-00155,Data Science Bootcamp 155,Data Science,54,2026-02-02,2026-02-16,COMPLETED,9,4,3,2,0.45,3.1,0.68,0.9,35.6,51.6,41.3,41.7,12,1,0,46.7,F,,,REVOKED,0.0623,0
157,1157,CERT-2026-00157,Data Science Bootcamp 157,Data Science,64,2026-03-25,2026-04-10,COMPLETED,12,7,2,3,0.57,4.1,0.62,0.9,38.8,54.3,71.4,,7,3,0,54.2,F,,,REVOKED,0.0395,0
160,1160,CERT-2026-00160,Cybersecurity Bootcamp 160,Cybersecurity,63,2025-11-22,2025-12-08,COMPLETED,3,2,0,1,0.68,4.0,0.65,0.83,34.7,47.8,19.0,15.0,9,5,0,37.4,F,,,REVOKED,0.0377,0
161,1161,CERT-2026-00161,Mobile Bootcamp 161,Mobile,46,2025-11-20,2025-12-02,COMPLETED,7,4,1,2,0.63,4.7,1.0,0.81,86.1,77.6,75.3,97.2,7,1,2,84.5,B,2025-12-17,2026-12-17,ISSUED,0.8185,1
162,1162,CERT-2026-00162,Cloud Bootcamp 162,Cloud,48,2026-03-02,2026-03-14,COMPLETED,6,2,3,1,0.35,3.4,0.98,0.95,83.4,82.0,86.6,83.2,8,0,2,84.7,B,2026-03-25,2027-03-25,ISSUED,0.6636,1
166,1166,CERT-2026-00166,Web Development Bootcamp 166,Web Development,46,2026-02-10,2026-02-22,COMPLETED,13,9,3,1,0.71,4.4,1.0,0.89,100.0,100.0,100.0,100.0,2,3,2,100.0,A,2026-03-09,2027-03-09,ISSUED,0.8542,1
167,1167,CERT-2026-00167,Mobile Bootcamp 167,Mobile,38,2025-12-26,2026-01-05,COMPLETED,5,3,1,1,0.56,3.8,0.69,1.0,34.4,54.7,36.2,,4,0,2,49.1,F,,,REVOKED,0.1513,0
