training_id,client_id,certificate_number,training_title,category,duration_hours,training_duration_days,start_date,end_date,cancel_date,training_status,review_count,approved_review_count,rejected_review_count,pending_review_count,approved_review_ratio,avg_review_rating,attendance_rate,completion_rate,assignment_avg,exam_score,engagement_score,practice_quiz_avg,days_until_exam,missed_sessions,prior_certifications,performance_index,engagement_index,certificate_score,grade,issue_date,expiry_date,certificate_status,issue_probability,is_issued
11,1011,CERT-2026-00011,Cybersecurity Bootcamp 11,Cybersecurity,61,15,2025-06-12,2025-06-27,,COMPLETED,12,10,1,1,0.84,4.6,0.86,0.96,60.3,63.0,100.0,73.4,0,1,2,64.8,92.1,70.1,C,2025-06-29,2026-06-29,ISSUED,0.6961,1
12,1012,CERT-2026-00012,UI/UX Bootcamp 12,UI/UX,39,10,2025-08-07,2025-08-17,,COMPLETED,8,4,2,2,0.45,4.3,0.77,0.93,54.3,76.2,87.2,47.5,0,1,1,62.5,83.6,68.3,D,,,PENDING,0.3896,0
13,1013,CERT-2026-00013,UI/UX Bootcamp 13,UI/UX,23,6,2026-04-10,2026-04-28,,ONGOING,4,3,0,1,0.78,4.7,0.71,0.61,29.0,,44.5,36.8,11,1,0,42.2,65.9,45.8,F,,,PENDING,0.0,0
14,1014,CERT-2026-00014,Data Science Bootcamp 14,Data Science,58,14,2026-05-28,2026-06-11,,UPCOMING,3,1,1,1,0.44,3.7,0.66,0.02,,,33.4,,22,1,0,55.6,59.8,53.5,F,,,PENDING,0.0,0
15,1015,CERT-2026-00015,Data Science Bootcamp 15,Data Science,68,17,2024-08-02,2024-08-19,,COMPLETED,8,6,1,1,0.72,4.9,0.93,0.95,69.7,77.6,64.4,60.4,0,2,1,70.9,81.2,72.9,C,2024-09-06,2025-09-06,EXPIRED,0.5164,1
16,1016,CERT-2026-00016,Web Development Bootcamp 16,Web Development,44,11,2026-04-11,2026-04-28,,ONGOING,4,3,1,0,0.74,4.3,0.97,0.52,57.8,,100.0,48.6,18,1,2,53.8,97.1,63.1,D,,,PENDING,0.0,0
17,1017,CERT-2026-00017,Web Development Bootcamp 17,Web Development,48,12,2025-10-06,2025-10-09,2025-10-09,CANCELLED,1,1,0,0,0.62,4.2,0.96,0.22,78.9,,83.7,98.0,20,0,3,72.5,92.5,73.1,C,,,REVOKED,0.0,0
18,1018,CERT-2026-00018,UI/UX Bootcamp 18,UI/UX,35,9,2024-08-31,2024-09-09,,COMPLETED,7,6,0,1,0.84,4.1,0.93,0.81,80.9,87.9,53.9,78.9,0,0,1,83.6,80.7,81.3,B,,,PENDING,0.5228,0
19,1019,CERT-2026-00019,Mobile Bootcamp 19,Mobile,34,8,2025-10-20,2025-10-28,,COMPLETED,12,4,5,3,0.32,3.9,0.93,0.94,78.8,100.0,86.3,94.4,0,1,2,92.2,90.5,91.9,A,2025-11-07,2026-11-07,ISSUED,0.893,1
20,1020,CERT-2026-00020,Mobile Bootcamp 20,Mobile,35,9,2026-04-10,2026-04-29,,ONGOING,5,3,1,1,0.6,4.3,1.0,0.64,76.9,,96.7,78.3,8,0,1,66.9,98.8,71.7,C,,,PENDING,0.0,0
21,1021,CERT-2026-00021,UI/UX Bootcamp 21,UI/UX,31,8,2026-04-11,2026-04-23,,ONGOING,2,1,0,1,0.73,4.3,0.74,0.47,62.4,,41.5,41.3,9,3,0,53.3,63.0,54.3,F,,,PENDING,0.0,0
22,1022,CERT-2026-00022,Web Development Bootcamp 22,Web Development,44,11,2025-03-29,2025-04-09,,COMPLETED,14,8,2,4,0.6,3.7,0.89,0.93,67.3,85.4,55.7,66.2,0,0,3,75.2,79.5,75.1,C,2025-05-07,2026-05-07,ISSUED,0.7502,1
23,1023,CERT-2026-00023,Cybersecurity Bootcamp 23,Cybersecurity,60,15,2026-04-08,2026-04-20,,ONGOING,2,1,0,1,0.59,4.6,1.0,0.48,88.6,,91.6,97.3,9,2,3,75.2,93.9,76.6,C,,,PENDING,0.0,0
24,1024,CERT-2026-00024,Mobile Bootcamp 24,Mobile,38,10,2026-03-05,2026-03-08,2026-03-08,CANCELLED,3,0,2,1,0.13,1.9,0.89,0.36,58.3,,51.7,49.9,11,1,0,54.3,76.5,57.0,F,,,REVOKED,0.0,0
25,1025,CERT-2026-00025,Cybersecurity Bootcamp 25,Cybersecurity,46,12,2025-09-02,2025-09-14,,COMPLETED,11,9,1,1,0.8,3.9,0.77,0.99,35.8,59.0,46.2,49.0,0,2,0,49.5,67.6,51.9,F,,,REVOKED,0.3344,0
26,1026,CERT-2026-00026,Cybersecurity Bootcamp 26,Cybersecurity,47,12,2025-12-31,2026-01-12,,COMPLETED,7,4,1,2,0.54,3.1,0.82,0.84,54.0,52.6,32.1,52.2,0,3,1,52.9,63.3,52.8,F,,,PENDING,0.0847,0
27,1027,CERT-2026-00027,UI/UX Bootcamp 27,UI/UX,51,13,2026-02-23,2026-03-08,,COMPLETED,13,7,2,4,0.51,4.0,0.9,0.94,71.6,77.5,73.2,70.9,0,1,1,74.1,84.5,75.6,C,,,PENDING,0.5157,0
28,1028,CERT-2026-00028,Mobile Bootcamp 28,Mobile,51,13,2026-04-09,2026-04-22,,ONGOING,3,2,0,1,0.74,4.3,1.0,0.42,86.2,,94.1,,13,2,1,64.7,94.7,70.8,C,,,PENDING,0.0,0
29,1029,CERT-2026-00029,Web Development Bootcamp 29,Web Development,29,7,2025-06-19,2025-06-26,,COMPLETED,8,8,0,0,0.94,5.0,1.0,0.96,,83.0,100.0,86.5,0,1,3,75.8,98.4,80.4,B,,,PENDING,0.7635,0
30,1030,CERT-2026-00030,Mobile Bootcamp 30,Mobile,30,8,2025-09-25,2025-09-27,2025-09-27,CANCELLED,6,3,1,2,0.44,3.6,0.77,0.04,55.8,,26.2,76.2,13,1,1,60.1,62.2,56.0,F,,,REVOKED,0.0,0
31,1031,CERT-2026-00031,Web Development Bootcamp 31,Web Development,54,14,2026-04-08,2026-04-25,,ONGOING,4,4,0,0,0.88,5.0,1.0,0.56,93.0,,91.9,81.4,13,0,2,72.6,97.2,75.4,C,,,PENDING,0.0,0
32,1032,CERT-2026-00032,Web Development Bootcamp 32,Web Development,59,15,2024-07-25,2024-08-09,,COMPLETED,8,3,2,3,0.42,3.7,0.8,0.88,63.6,84.3,89.2,73.9,0,4,1,75.5,80.8,78.1,C,2024-08-27,2025-08-27,EXPIRED,0.5969,1
33,1033,CERT-2026-00033,Cybersecurity Bootcamp 33,Cybersecurity,49,12,2026-04-27,2026-05-09,,UPCOMING,3,2,0,1,0.69,3.9,0.83,0.03,,,68.2,,21,1,1,55.6,79.6,59.1,F,,,PENDING,0.0,0
34,1034,CERT-2026-00034,Cloud Bootcamp 34,Cloud,41,10,2024-09-29,2024-10-09,,COMPLETED,10,5,2,3,0.54,4.3,0.9,0.93,82.3,90.6,70.0,78.4,0,0,2,85.1,85.0,84.4,B,2024-10-30,2025-10-30,EXPIRED,0.7925,1
35,1035,CERT-2026-00035,Cloud Bootcamp 35,Cloud,73,18,2026-03-08,2026-03-26,,COMPLETED,4,2,1,1,0.59,4.3,0.76,0.95,44.5,71.4,64.5,47.1,0,2,0,57.3,73.6,61.1,D,,,PENDING,0.4014,0
36,1036,CERT-2026-00036,Cloud Bootcamp 36,Cloud,51,13,2025-09-28,2025-10-11,,COMPLETED,11,5,2,4,0.5,3.8,0.88,0.85,77.8,86.0,92.9,71.3,0,3,0,79.9,87.3,83.0,B,2025-10-20,2026-10-20,ISSUED,0.5838,1
37,1037,CERT-2026-00037,Web Development Bootcamp 37,Web Development,37,9,2026-01-23,2026-02-01,,COMPLETED,11,5,2,4,0.41,3.5,0.71,0.92,48.4,46.1,49.6,40.7,0,1,0,45.4,67.7,48.3,F,,,REVOKED,0.0653,0
38,1038,CERT-2026-00038,UI/UX Bootcamp 38,UI/UX,42,10,2024-08-10,2024-08-20,,COMPLETED,7,4,2,1,0.52,3.4,0.84,0.97,38.2,53.0,45.1,36.2,0,2,1,44.4,70.4,48.6,F,,,REVOKED,0.1308,0
39,1039,CERT-2026-00039,Mobile Bootcamp 39,Mobile,51,13,2024-11-13,2024-11-26,,COMPLETED,8,2,2,4,0.29,2.6,0.57,0.92,35.0,55.0,41.6,53.3,0,1,1,48.6,58.6,48.5,F,,,REVOKED,0.0695,0
40,1040,CERT-2026-00040,UI/UX Bootcamp 40,UI/UX,46,12,2026-04-08,2026-04-23,,ONGOING,3,3,0,0,0.9,5.0,0.95,0.77,69.4,,66.9,77.2,10,0,2,64.4,86.2,65.8,D,,,PENDING,0.0,0
41,1041,CERT-2026-00041,Mobile Bootcamp 41,Mobile,43,11,2025-10-17,2025-10-21,2025-10-21,CANCELLED,5,2,2,1,0.39,4.1,0.74,0.21,75.9,,58.4,57.3,13,2,0,61.4,70.5,61.8,D,,,REVOKED,0.0,0
42,1042,CERT-2026-00042,Cybersecurity Bootcamp 42,Cybersecurity,50,12,2025-10-29,2025-11-10,,COMPLETED,11,7,2,2,0.6,4.1,0.81,0.9,58.9,75.5,62.5,50.4,0,4,1,64.2,71.9,66.9,D,,,PENDING,0.1458,0
43,1043,CERT-2026-00043,UI/UX Bootcamp 43,UI/UX,52,13,2024-08-29,2024-09-11,,COMPLETED,10,6,2,2,0.55,4.6,1.0,0.91,86.6,89.0,100.0,85.4,0,0,4,87.4,100.0,90.1,A,2024-09-27,2025-09-27,EXPIRED,0.8915,1
44,1044,CERT-2026-00044,Cybersecurity Bootcamp 44,Cybersecurity,51,13,2025-05-30,2025-06-12,,COMPLETED,16,10,3,3,0.62,3.6,1.0,0.98,56.9,71.6,85.5,52.0,0,0,2,62.3,94.9,69.3,D,,,PENDING,0.6553,0
45,1045,CERT-2026-00045,Data Science Bootcamp 45,Data Science,48,12,2026-03-06,2026-03-06,2026-03-06,CANCELLED,1,1,0,0,0.76,4.2,0.93,0.37,60.1,,58.9,,15,0,0,56.8,82.5,59.7,F,,,REVOKED,0.0,0
46,1046,CERT-2026-00046,Cybersecurity Bootcamp 46,Cybersecurity,41,10,2025-02-13,2025-02-23,,COMPLETED,6,2,1,3,0.37,3.7,0.64,0.96,45.1,51.3,33.4,20.0,0,2,1,41.6,57.3,44.3,F,,,REVOKED,0.1823,0
47,1047,CERT-2026-00047,Cybersecurity Bootcamp 47,Cybersecurity,40,10,2026-04-12,2026-04-28,,ONGOING,4,3,0,1,0.63,3.9,0.85,0.47,68.9,,50.5,72.4,13,1,2,63.1,74.3,62.2,D,,,PENDING,0.0,0
48,1048,CERT-2026-00048,Web Development Bootcamp 48,Web Development,31,8,2025-12-19,2025-12-22,2025-12-22,CANCELLED,3,2,1,0,0.58,3.6,0.67,0.5,34.4,,47.6,55.8,24,4,3,48.6,60.4,49.8,F,,,REVOKED,0.0,0
49,1049,CERT-2026-00049,Web Development Bootcamp 49,Web Development,51,13,2026-04-09,2026-04-24,,ONGOING,6,3,2,1,0.51,3.9,0.8,0.6,46.4,,37.4,31.2,18,1,0,46.0,67.5,49.1,F,,,PENDING,0.0,0
50,1050,CERT-2026-00050,UI/UX Bootcamp 50,UI/UX,64,16,2026-05-21,2026-06-06,,UPCOMING,3,2,1,0,0.55,4.0,0.95,0.0,,,86.4,,38,2,0,55.6,89.8,62.2,D,,,PENDING,0.0,0
51,1051,CERT-2026-00051,Data Science Bootcamp 51,Data Science,43,11,2026-02-24,2026-02-24,2026-02-24,CANCELLED,3,3,0,0,0.88,,1.0,0.32,70.4,,97.2,74.4,24,2,0,64.0,95.8,69.7,D,,,REVOKED,0.0,0
52,1052,CERT-2026-00052,Web Development Bootcamp 52,Web Development,30,8,2026-04-11,2026-04-22,,ONGOING,2,1,1,0,0.7,4.3,0.91,0.47,61.2,,71.1,62.2,20,0,2,58.2,85.8,61.9,D,,,PENDING,0.0,0
53,1053,CERT-2026-00053,Cloud Bootcamp 53,Cloud,53,13,2026-02-25,2026-03-10,,COMPLETED,7,6,0,1,0.87,4.4,0.96,0.96,72.1,61.3,56.4,,0,1,3,63.7,81.3,65.6,D,,,PENDING,0.4781,0
54,1054,CERT-2026-00054,UI/UX Bootcamp 54,UI/UX,34,8,2026-04-09,2026-04-21,,ONGOING,4,2,1,1,0.51,3.1,0.77,0.52,67.7,,76.5,,5,1,1,59.1,79.8,62.4,D,,,PENDING,0.0,0
55,1055,CERT-2026-00055,Cybersecurity Bootcamp 55,Cybersecurity,42,10,2026-01-07,2026-01-17,,COMPLETED,7,4,1,2,0.61,4.1,0.9,0.94,83.1,96.5,59.9,68.4,0,3,4,85.5,76.7,84.4,B,2026-02-01,2027-02-01,ISSUED,0.7734,1
56,1056,CERT-2026-00056,Cybersecurity Bootcamp 56,Cybersecurity,68,17,2026-04-05,2026-04-29,,ONGOING,4,2,1,1,0.5,4.4,0.97,0.56,100.0,,100.0,85.9,7,1,0,75.8,97.1,78.5,C,,,PENDING,0.0,0
57,1057,CERT-2026-00057,Data Science Bootcamp 57,Data Science,59,15,2024-12-16,2024-12-31,,COMPLETED,9,5,2,2,0.57,4.3,0.79,0.93,91.9,92.2,88.6,92.7,0,1,2,92.2,85.0,90.7,A,2025-01-05,2026-01-05,EXPIRED,0.67,1
58,1058,CERT-2026-00058,Data Science Bootcamp 58,Data Science,59,15,2025-09-20,2025-10-05,,COMPLETED,13,12,0,1,0.9,4.8,0.98,0.93,78.8,86.0,100.0,88.1,0,0,4,84.4,99.1,87.2,B,2025-10-26,2026-10-26,ISSUED,0.8825,1
59,1059,CERT-2026-00059,Web Development Bootcamp 59,Web Development,42,10,2025-11-09,2025-11-19,,COMPLETED,9,3,3,3,0.37,3.5,0.75,0.84,42.7,75.8,51.7,53.5,0,2,0,60.3,68.6,61.8,D,,,PENDING,0.1361,0
60,1060,CERT-2026-00060,UI/UX Bootcamp 60,UI/UX,21,5,2026-05-19,2026-05-24,,UPCOMING,5,4,1,0,0.81,4.9,0.97,0.05,,,100.0,,16,0,4,55.6,98.6,64.0,D,,,PENDING,0.0,0
61,1061,CERT-2026-00061,Cybersecurity Bootcamp 61,Cybersecurity,45,11,2025-05-13,2025-05-24,,COMPLETED,8,3,3,2,0.38,3.2,0.79,0.96,86.1,72.3,63.6,,0,1,2,72.9,76.2,73.1,C,2025-05-27,2026-05-27,ISSUED,0.68,1
62,1062,CERT-2026-00062,Cybersecurity Bootcamp 62,Cybersecurity,58,14,2025-05-06,2025-05-20,,COMPLETED,9,6,1,2,0.72,3.7,0.81,1.0,74.5,80.8,53.0,66.5,0,1,0,75.3,73.4,74.0,C,2025-06-04,2026-06-04,ISSUED,0.4855,1
63,1063,CERT-2026-00063,Mobile Bootcamp 63,Mobile,34,8,2025-10-05,2025-10-13,,COMPLETED,5,3,1,1,0.61,4.5,0.86,0.94,68.8,80.6,65.9,72.8,0,1,2,75.1,80.2,75.3,C,2025-11-04,2026-11-04,ISSUED,0.4135,1
64,1064,CERT-2026-00064,Cybersecurity Bootcamp 64,Cybersecurity,46,12,2024-10-18,2024-10-30,,COMPLETED,10,7,2,1,0.73,4.6,0.82,0.94,56.3,67.9,56.8,66.7,0,2,0,64.1,73.6,64.7,D,,,PENDING,0.2423,0
65,1065,CERT-2026-00065,UI/UX Bootcamp 65,UI/UX,22,6,2025-09-23,2025-09-29,,COMPLETED,8,5,1,2,0.67,4.4,0.68,0.92,48.5,44.6,39.6,28.1,0,4,0,41.6,58.1,44.5,F,,,REVOKED,0.0857,0
66,1066,CERT-2026-00066,Data Science Bootcamp 66,Data Science,45,11,2025-10-01,2025-10-10,2025-10-10,CANCELLED,3,1,1,1,0.45,,1.0,0.49,54.6,,88.0,73.9,28,0,1,59.2,95.8,64.7,D,,,REVOKED,0.0,0
67,1067,CERT-2026-00067,Cybersecurity Bootcamp 67,Cybersecurity,61,15,2025-11-22,2025-12-04,2025-12-04,CANCELLED,4,3,1,0,0.83,4.0,0.63,0.4,53.9,,64.8,49.6,30,3,2,52.9,66.2,55.4,F,,,REVOKED,0.0,0
68,1068,CERT-2026-00068,Cloud Bootcamp 68,Cloud,49,12,2024-08-04,2024-08-16,,COMPLETED,8,8,0,0,1.0,4.2,0.95,0.93,67.9,44.3,89.3,55.2,0,2,0,54.1,90.8,60.9,D,,,PENDING,0.3021,0
69,1069,CERT-2026-00069,Web Development Bootcamp 69,Web Development,23,6,2025-08-10,2025-08-16,,COMPLETED,8,4,1,3,0.48,4.3,0.99,0.92,74.0,76.7,90.9,51.2,0,0,0,69.5,96.4,76.0,C,,,PENDING,0.5204,0
70,1070,CERT-2026-00070,Cybersecurity Bootcamp 70,Cybersecurity,63,16,2026-05-01,2026-05-17,,UPCOMING,0,0,0,0,0.0,,0.89,0.03,,,45.0,,30,1,1,55.6,74.2,56.8,F,,,PENDING,0.0,0
71,1071,CERT-2026-00071,Mobile Bootcamp 71,Mobile,34,8,2026-02-08,2026-02-10,2026-02-10,CANCELLED,3,2,0,1,0.81,4.2,0.87,0.21,35.7,,74.4,87.3,3,0,0,56.8,85.2,59.4,F,,,REVOKED,0.0,0
72,1072,CERT-2026-00072,Web Development Bootcamp 72,Web Development,64,16,2025-10-22,2025-11-03,2025-11-03,CANCELLED,2,1,1,0,0.6,3.8,0.97,0.27,71.8,,81.2,64.5,19,0,0,62.0,92.1,66.4,D,,,REVOKED,0.0,0
73,1073,CERT-2026-00073,Mobile Bootcamp 73,Mobile,44,11,2025-12-31,2026-01-11,,COMPLETED,6,2,1,3,0.4,3.4,1.0,0.95,93.2,100.0,86.6,73.7,0,0,1,91.4,95.3,93.1,A,2026-01-20,2027-01-20,ISSUED,0.6269,1
74,1074,CERT-2026-00074,Web Development Bootcamp 74,Web Development,32,8,2026-05-29,2026-06-06,,UPCOMING,6,5,1,0,0.8,3.6,0.88,0.07,,,77.3,,18,1,1,55.6,85.1,60.6,D,,,PENDING,0.0,0
75,1075,CERT-2026-00075,Cloud Bootcamp 75,Cloud,59,15,2025-11-22,2025-12-07,,COMPLETED,5,3,1,1,0.58,3.9,0.93,0.93,59.1,72.1,84.1,70.0,0,0,1,67.7,91.3,71.8,C,2026-01-06,2027-01-06,ISSUED,0.5192,1
76,1076,CERT-2026-00076,Cybersecurity Bootcamp 76,Cybersecurity,37,9,2026-03-21,2026-03-22,2026-03-22,CANCELLED,6,5,0,1,0.76,4.4,0.97,0.36,85.9,,84.8,81.9,24,0,2,70.5,93.3,72.7,C,,,REVOKED,0.0,0
77,1077,CERT-2026-00077,Mobile Bootcamp 77,Mobile,46,12,2026-05-13,2026-05-25,,UPCOMING,4,3,1,0,0.86,4.1,0.92,0.08,,,72.8,,23,1,3,55.6,85.3,60.3,D,,,PENDING,0.0,0
78,1078,CERT-2026-00078,Data Science Bootcamp 78,Data Science,52,13,2026-05-12,2026-05-25,,UPCOMING,0,0,0,0,0.0,,0.86,0.07,,,54.6,,31,0,1,55.6,77.8,57.7,F,,,PENDING,0.0,0
79,1079,CERT-2026-00079,UI/UX Bootcamp 79,UI/UX,30,8,2026-01-25,2026-02-02,,COMPLETED,11,8,2,1,0.75,4.8,0.78,0.94,51.7,64.2,86.0,52.7,0,2,2,57.6,82.0,63.3,D,,,PENDING,0.2262,0
80,1080,CERT-2026-00080,Cloud Bootcamp 80,Cloud,64,16,2025-05-14,2025-05-30,,COMPLETED,13,8,1,4,0.59,4.6,0.98,0.98,89.8,100.0,89.5,89.3,0,0,2,94.3,95.4,94.6,A,2025-06-15,2026-06-15,ISSUED,0.8628,1
81,1081,CERT-2026-00081,UI/UX Bootcamp 81,UI/UX,53,13,2026-04-09,2026-04-26,,ONGOING,2,1,0,1,0.55,4.2,0.81,0.33,37.3,,54.6,45.8,15,0,3,46.9,75.6,51.1,F,,,PENDING,0.0,0
82,1082,CERT-2026-00082,Web Development Bootcamp 82,Web Development,39,10,2024-10-09,2024-10-19,,COMPLETED,10,6,2,2,0.55,3.6,0.79,0.88,,53.0,49.1,50.4,0,1,0,53.3,71.1,55.0,F,,,PENDING,0.1464,0
83,1083,CERT-2026-00083,UI/UX Bootcamp 83,UI/UX,46,12,2026-04-06,2026-04-21,,ONGOING,5,3,1,1,0.63,4.7,0.76,0.37,44.1,,53.1,40.4,19,2,1,47.6,69.6,51.4,F,,,PENDING,0.0,0
84,1084,CERT-2026-00084,Cybersecurity Bootcamp 84,Cybersecurity,73,18,2026-04-12,2026-04-24,,ONGOING,2,1,0,1,0.28,3.2,0.62,0.49,34.2,,68.8,48.4,16,2,1,46.7,68.8,50.9,F,,,PENDING,0.0,0
85,1085,CERT-2026-00085,Data Science Bootcamp 85,Data Science,73,18,2025-12-08,2025-12-10,2025-12-10,CANCELLED,2,2,0,0,0.91,4.1,0.8,0.29,35.9,,59.6,37.9,21,4,1,44.5,70.5,50.2,F,,,REVOKED,0.0,0
86,1086,CERT-2026-00086,Cloud Bootcamp 86,Cloud,51,13,2025-03-16,2025-03-29,,COMPLETED,9,9,0,0,0.95,5.0,0.9,0.96,83.0,85.6,92.5,79.9,0,1,2,83.4,91.3,85.4,B,2025-04-07,2026-04-07,EXPIRED,0.9259,1
87,1087,CERT-2026-00087,Data Science Bootcamp 87,Data Science,54,14,2026-04-12,2026-05-02,,ONGOING,4,2,1,1,0.45,3.6,0.71,0.58,59.6,,63.0,45.0,21,2,1,53.4,70.8,56.5,F,,,PENDING,0.0,0
88,1088,CERT-2026-00088,Web Development Bootcamp 88,Web Development,54,14,2025-12-30,2026-01-13,,COMPLETED,7,4,1,2,0.62,4.6,0.88,0.96,61.4,70.2,68.5,60.3,0,4,2,65.1,77.2,67.9,D,,,PENDING,0.2601,0
89,1089,CERT-2026-00089,Cloud Bootcamp 89,Cloud,56,14,2024-09-13,2024-09-27,,COMPLETED,12,7,3,2,0.55,4.0,1.0,0.93,82.4,93.8,72.6,67.5,0,0,1,83.8,90.4,85.3,B,2024-10-03,2025-10-03,EXPIRED,0.8118,1
90,1090,CERT-2026-00090,Cloud Bootcamp 90,Cloud,44,11,2026-01-05,2026-01-06,2026-01-06,CANCELLED,2,2,0,0,0.77,3.9,1.0,0.13,78.8,,88.3,83.5,13,2,0,68.8,92.7,71.9,C,,,REVOKED,0.0,0
91,1091,CERT-2026-00091,Web Development Bootcamp 91,Web Development,48,12,2026-04-09,2026-05-01,,ONGOING,3,2,1,0,0.82,4.8,0.97,0.66,85.6,,96.5,91.5,1,2,8,72.9,94.2,75.4,C,,,PENDING,0.0,0
92,1092,CERT-2026-00092,Mobile Bootcamp 92,Mobile,60,15,2026-04-07,2026-04-26,,ONGOING,3,2,0,1,0.73,4.5,0.87,0.67,84.9,,100.0,83.9,8,2,0,70.7,91.0,73.8,C,,,PENDING,0.0,0
93,1093,CERT-2026-00093,Web Development Bootcamp 93,Web Development,23,6,2026-04-10,2026-04-25,,ONGOING,3,1,1,1,0.42,3.4,0.68,0.63,52.1,,48.5,,15,1,0,54.4,66.0,54.6,F,,,PENDING,0.0,0
94,1094,CERT-2026-00094,Data Science Bootcamp 94,Data Science,46,12,2025-12-19,2025-12-31,,COMPLETED,7,3,1,3,0.5,3.7,0.91,0.99,69.6,86.8,58.3,68.1,0,1,1,77.0,79.8,77.0,C,2026-01-16,2027-01-16,ISSUED,0.478,1
95,1095,CERT-2026-00095,Mobile Bootcamp 95,Mobile,44,11,2026-04-08,2026-04-29,,ONGOING,4,2,1,1,0.62,3.5,0.8,0.67,73.2,,71.3,58.5,7,4,1,60.9,74.6,63.4,D,,,PENDING,0.0,0
96,1096,CERT-2026-00096,Mobile Bootcamp 96,Mobile,60,15,2026-04-29,2026-05-14,,UPCOMING,5,3,1,1,0.52,3.8,0.9,0.03,,,90.5,,26,3,1,55.6,87.4,62.3,D,,,PENDING,0.0,0
97,1097,CERT-2026-00097,UI/UX Bootcamp 97,UI/UX,41,10,2026-04-11,2026-04-27,,ONGOING,4,2,1,1,0.5,4.0,0.95,0.55,78.4,,95.9,84.7,10,0,2,69.0,96.3,72.5,C,,,PENDING,0.0,0
98,1098,CERT-2026-00098,Cybersecurity Bootcamp 98,Cybersecurity,47,12,2026-04-10,2026-05-01,,ONGOING,4,2,1,1,0.38,4.4,1.0,0.71,100.0,,100.0,87.7,8,0,6,76.2,100.0,79.0,C,,,PENDING,0.0,0
99,1099,CERT-2026-00099,Data Science Bootcamp 99,Data Science,63,16,2026-04-09,2026-04-22,,ONGOING,4,2,1,1,0.5,3.4,0.75,0.37,43.6,,46.6,35.8,4,0,2,46.3,70.1,49.7,F,,,PENDING,0.0,0
100,1100,CERT-2026-00100,UI/UX Bootcamp 100,UI/UX,55,14,2026-01-26,2026-02-09,,COMPLETED,10,6,2,2,0.6,3.3,0.9,1.0,78.9,85.4,89.9,79.2,0,1,2,81.9,90.4,83.9,B,2026-03-04,2027-03-04,ISSUED,0.452,1
